YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,BBOX
"2018",CA,CCO,VNC,SURF,"00008244",2018/01/28,2018/01/29,"14",Cause under investigation 18-0008244,2.00000000000,1.48225000000,"1","1",,386.41413678900,5998.45309918000,"Polygon ((-119.18849446 34.13946086, -119.18690123 34.13946086, -119.18690123 34.14007246, -119.18849446 34.14007246, -119.18849446 34.13946086))"
"2018",CA,CCO,VNC,DITCH,"00054634",2018/07/13,2018/07/13,"14",VCFD Cause undetermin post investig.  18-0054634,0.00000000000,0.12955600000,"6","1",,85.70966940340,524.29306171400,"Polygon ((-118.73964037 34.29362522, -118.73932118 34.29362522, -118.73932118 34.29385568, -118.73964037 34.29385568, -118.73964037 34.29362522))"
"2018",CA,CCO,VNC,MARIA,"00086063",2018/10/22,2018/10/22,"14",Cause under investigation 18-0086063,0.00000000000,0.38014900000,"1","1",,176.82830747700,1538.40800472000,"Polygon ((-119.07317031 34.33646001, -119.07249573 34.33646001, -119.07249573 34.33695668, -119.07317031 34.33695668, -119.07317031 34.33646001))"
"2018",CA,CCO,VNC,MCWANE,"00038177",2018/01/28,2018/01/29,"14",Cause under investigation 18-0008244,2.00000000000,0.72086800000,"1","1",,214.12837498500,2917.25066731000,"Polygon ((-119.1805871 34.1415819, -119.17987095 34.1415819, -119.17987095 34.14215686, -119.1805871 34.14215686, -119.1805871 34.1415819))"
"2018",CA,CCO,VNC,BEACH,"0050586",2018/06/30,2018/06/30,"9",Unintentional 18-0050586,0.00000000000,0.52182700000,"1","1",,218.65842160000,2111.75899674000,"Polygon ((-119.34165338 34.29792525, -119.34099355 34.29792525, -119.34099355 34.29852795, -119.34165338 34.29852795, -119.34165338 34.29792525))"
"2018",CA,CCO,VNC,ERRINGER,"00008902",2018/01/31,2018/01/31,"9",Unintentional 18-0008902,0.00000000000,0.00282056000,"6","1",,12.41731411230,11.41440500750,"Polygon ((-118.74585158 34.28251882, -118.74580866 34.28251882, -118.74580866 34.28255096, -118.74585158 34.28255096, -118.74585158 34.28251882))"
"2018",CA,CCO,VNC,TORREY,"00043129",2018/06/04,2018/06/04,"2",Equipment 18-0043129,2.00000000000,1.53382000000,"1","1",,350.96797939500,6207.16839889000,"Polygon ((-118.79470141 34.38864637, -118.79368753 34.38864637, -118.79368753 34.38948083, -118.79470141 34.38948083, -118.79470141 34.38864637))"
"2018",CA,CCO,VNC,HARBOR,"00008258",2018/01/29,2018/01/29,"14",18-0008258,0.00000000000,0.00179637000,"6","1",,9.81010928882,7.26963487964,"Polygon ((-119.30749004 34.27706156, -119.30745467 34.27706156, -119.30745467 34.27708843, -119.30749004 34.27708843, -119.30749004 34.27706156))"
"2018",CA,CCO,VNC,ARROYO,"00045480",2018/06/12,2018/06/12,"14",Cause under investigation 18-0045480,2.00000000000,2.01038000000,"1","1",,502.00731618200,8135.73405737000,"Polygon ((-118.91022316 34.19531283, -118.90918246 34.19531283, -118.90918246 34.19699667, -118.91022316 34.19699667, -118.91022316 34.19531283))"
"2018",CA,CCO,VNC,COLLINS,"00077583",2018/09/26,2018/09/26,"9",Unintentional 18-0077583,11.00000000000,6.31120000000,"6","1",,1247.57409149000,25540.50647430000,"Polygon ((-118.8447853 34.28784115, -118.80325185 34.28784115, -118.80325185 34.29310785, -118.8447853 34.29310785, -118.8447853 34.28784115))"
